state.id,state,region,month,year,summer
10,Durango,Norte,5,2017,Yes
11,Guanajuato,Sur,5,2017,Yes
12,Guerrero,Sur,5,2017,Yes
13,Hidalgo,Central,5,2017,Yes
14,Jalisco,Sur,5,2017,Yes
15,Mexico,Central,5,2017,Yes
16,Michoacan,Sur,5,2017,Yes
17,Morelos,Central,5,2017,Yes
18,Nayarit,Sur,5,2017,Yes
19,Nuevo Leon,Noreste,5,2017,Yes
20,Oaxaca,Sur,5,2017,Yes
21,Puebla,Central,5,2017,Yes
22,Queretaro,Sur,5,2017,Yes
23,Quintana Roo,Peninsular,5,2017,Yes
24,San Luis Potosi,Noreste,5,2017,Yes
25,Sinaloa,Noroeste,5,2017,Yes
26,Sonora,Noroeste,5,2017,Yes
27,Tabasco,Sur,5,2017,Yes
28,Tamaulipas,Noreste,5,2017,Yes
29,Tlaxcala,Central,5,2017,Yes
30,Veracruz,Sur,5,2017,Yes
31,Yucatan,Peninsular,5,2017,Yes
32,Zacatecas,Norte,5,2017,Yes
1,Aguascalientes,Sur,6,2017,Yes
2,Baja California,Baja California,6,2017,Yes
3,Baja California Sur,Baja California Sur,6,2017,Yes
4,Campeche,Peninsular,6,2017,Yes
5,Coahuila,Noreste,6,2017,Yes
6,Colima,Sur,6,2017,Yes
7,Chiapas,Sur,6,2017,Yes
8,Chihuahua,Norte,6,2017,Yes
9,Mexico City,Central,6,2017,Yes
10,Durango,Norte,6,2017,Yes
11,Guanajuato,Sur,6,2017,Yes
12,Guerrero,Sur,6,2017,Yes
13,Hidalgo,Central,6,2017,Yes
14,Jalisco,Sur,6,2017,Yes
15,Mexico,Central,6,2017,Yes
16,Michoacan,Sur,6,2017,Yes
17,Morelos,Central,6,2017,Yes
18,Nayarit,Sur,6,2017,Yes
19,Nuevo Leon,Noreste,6,2017,Yes
20,Oaxaca,Sur,6,2017,Yes
21,Puebla,Central,6,2017,Yes
22,Queretaro,Sur,6,2017,Yes
23,Quintana Roo,Peninsular,6,2017,Yes
24,San Luis Potosi,Noreste,6,2017,Yes
25,Sinaloa,Noroeste,6,2017,Yes
26,Sonora,Noroeste,6,2017,Yes
27,Tabasco,Sur,6,2017,Yes
28,Tamaulipas,Noreste,6,2017,Yes
29,Tlaxcala,Central,6,2017,Yes
30,Veracruz,Sur,6,2017,Yes
31,Yucatan,Peninsular,6,2017,Yes
32,Zacatecas,Norte,6,2017,Yes
1,Aguascalientes,Sur,7,2017,Yes
2,Baja California,Baja California,7,2017,Yes
3,Baja California Sur,Baja California Sur,7,2017,Yes
4,Campeche,Peninsular,7,2017,Yes
5,Coahuila,Noreste,7,2017,Yes
6,Colima,Sur,7,2017,Yes
7,Chiapas,Sur,7,2017,Yes
8,Chihuahua,Norte,7,2017,Yes
9,Mexico City,Central,7,2017,Yes
10,Durango,Norte,7,2017,Yes
11,Guanajuato,Sur,7,2017,Yes
12,Guerrero,Sur,7,2017,Yes
13,Hidalgo,Central,7,2017,Yes
14,Jalisco,Sur,7,2017,Yes
15,Mexico,Central,7,2017,Yes
16,Michoacan,Sur,7,2017,Yes
17,Morelos,Central,7,2017,Yes
18,Nayarit,Sur,7,2017,Yes
19,Nuevo Leon,Noreste,7,2017,Yes
20,Oaxaca,Sur,7,2017,Yes
21,Puebla,Central,7,2017,Yes
22,Queretaro,Sur,7,2017,Yes
23,Quintana Roo,Peninsular,7,2017,Yes
24,San Luis Potosi,Noreste,7,2017,Yes
25,Sinaloa,Noroeste,7,2017,Yes
26,Sonora,Noroeste,7,2017,Yes
27,Tabasco,Sur,7,2017,Yes
28,Tamaulipas,Noreste,7,2017,Yes
29,Tlaxcala,Central,7,2017,Yes
30,Veracruz,Sur,7,2017,Yes
31,Yucatan,Peninsular,7,2017,Yes
32,Zacatecas,Norte,7,2017,Yes
1,Aguascalientes,Sur,8,2017,Yes
2,Baja California,Baja California,8,2017,Yes
3,Baja California Sur,Baja California Sur,8,2017,Yes
4,Campeche,Peninsular,8,2017,Yes
5,Coahuila,Noreste,8,2017,Yes
6,Colima,Sur,8,2017,Yes
7,Chiapas,Sur,8,2017,Yes
8,Chihuahua,Norte,8,2017,Yes
9,Mexico City,Central,8,2017,Yes
10,Durango,Norte,8,2017,Yes
11,Guanajuato,Sur,8,2017,Yes
12,Guerrero,Sur,8,2017,Yes
13,Hidalgo,Central,8,2017,Yes
14,Jalisco,Sur,8,2017,Yes
15,Mexico,Central,8,2017,Yes
16,Michoacan,Sur,8,2017,Yes
17,Morelos,Central,8,2017,Yes
18,Nayarit,Sur,8,2017,Yes
19,Nuevo Leon,Noreste,8,2017,Yes
20,Oaxaca,Sur,8,2017,Yes
21,Puebla,Central,8,2017,Yes
22,Queretaro,Sur,8,2017,Yes
